2014-08-15-16:00:01.082,2,127250,160,255,8,ff,4a,7c,ff,7f,a9,05,fc
2014-08-15-16:00:01.083,3,128267,115,255,8,00,d4,10,00,00,ff,ff,ff
2014-08-15-16:00:01.091,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:01.093,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:01.262,4,129039,43,255,26,12,44,11,b6,0d,0f,d1,d7,0e,0e,4c,c9,23,07,67,75,77,01,06,00,26,ff,ff,00,74,ff
2014-08-15-16:00:01.273,3,129029,160,255,43,ea,a9,3f,2a,2c,55,22,00,1a,ce,73,f8,07,55,08,00,28,55,f3,b5,b6,74,03,20,6c,fb,ff,ff,ff,ff,ff,10,fc,0b,50,00,ff,7f,ff,ff,ff,7f,00
2014-08-15-16:00:01.276,3,129033,160,255,8,a9,3f,2a,2c,55,22,b4,00
2014-08-15-16:00:01.322,4,129039,43,255,26,12,44,11,b6,0d,0f,d1,d7,0e,0e,4c,c9,23,07,67,75,77,01,06,00,16,ff,ff,00,74,ff
2014-08-15-16:00:01.342,3,126992,160,255,8,ff,ff,a9,3f,2a,2c,55,22
2014-08-15-16:00:01.362,4,129038,43,255,27,01,88,48,b8,0d,86,25,dc,0e,b4,48,c6,23,03,b8,86,d1,03,c4,08,00,5a,88,0a,00,00,fe
2014-08-15-16:00:01.378,2,128259,115,255,8,00,68,01,ff,ff,00,ff,ff
2014-08-15-16:00:01.402,4,129039,43,255,26,12,8c,d3,b5,0d,b5,62,d7,0e,9e,7a,c8,23,00,32,72,bf,01,06,00,0e,ff,ff,00,7c,ff
2014-08-15-16:00:01.412,7,65306,115,255,8,3b,9f,b7,00,ff,ff,ff,ff
2014-08-15-16:00:01.414,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:01.416,2,128259,115,255,8,00,69,01,ff,ff,00,ff,ff
2014-08-15-16:00:01.442,2,128259,160,255,8,ff,ff,ff,7a,01,ff,ff,ff
2014-08-15-16:00:01.466,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:01.496,5,130311,115,255,8,00,c0,53,7a,ff,7f,ff,ff
2014-08-15-16:00:01.525,5,130311,115,255,8,00,c0,53,7a,ff,7f,ff,ff
